cgpa,projects,internships,certifications,python,ml,sql,communication,employability
7.82,5,1,2,1,0,0,1,1
6.12,5,0,2,1,1,0,0,1
7.42,4,2,1,0,1,0,0,1
7.63,4,0,5,1,0,0,1,1
5.71,1,2,5,0,0,1,1,1
6.85,2,1,5,1,0,0,0,0
6.04,4,2,3,0,0,0,0,1
5.75,0,1,4,1,1,0,0,1
9.46,4,2,5,0,0,0,0,1
6.79,1,1,2,1,1,1,0,1
8.74,5,1,2,0,0,0,0,1
6.52,1,3,5,0,0,1,1,1
8.23,5,1,5,0,0,0,1,1
8.54,5,3,2,0,1,1,1,1
7.88,2,1,3,0,1,1,0,1
7.39,4,0,0,0,0,0,0,0
7.15,0,1,0,0,1,0,0,1
6.9,0,0,5,1,1,1,1,1
9.22,3,0,1,1,0,1,1,1
8.82,5,1,5,1,0,0,0,1
9.36,0,0,5,1,1,1,0,1
6.0,2,3,0,1,1,1,1,1
8.42,5,2,2,0,1,1,1,1
9.25,2,1,5,0,0,0,1,1
6.22,0,0,2,0,0,1,0,0
5.77,0,1,2,0,1,1,0,1
8.46,3,3,1,0,0,1,0,1
7.8,0,1,2,1,0,0,1,1
8.87,5,1,0,1,1,0,1,1
6.06,5,0,3,1,1,1,0,1
8.68,5,3,3,1,0,0,0,1
6.31,3,2,4,0,0,1,1,1
6.15,3,2,5,0,1,0,0,1
6.16,0,0,0,0,0,0,1,0
8.76,1,1,2,1,0,1,1,1
8.16,1,0,3,0,1,0,0,1
7.59,3,0,0,1,1,0,1,1
6.94,0,0,3,0,0,0,0,0
9.01,1,1,2,0,0,1,1,1
7.07,0,3,3,1,0,0,1,0
8.77,0,0,5,0,1,0,0,1
7.26,0,1,5,0,0,1,1,1
7.01,4,3,4,1,0,0,0,1
7.35,5,0,4,0,1,0,0,1
6.71,0,2,3,1,1,0,1,1
8.49,4,3,0,0,0,0,0,1
7.51,3,0,5,0,1,0,0,1
6.43,1,3,0,0,1,1,0,1
9.1,5,3,0,0,0,1,0,1
7.04,1,3,3,0,1,0,0,1
7.67,5,3,0,0,1,0,0,1
9.13,1,3,5,0,0,0,1,1
8.0,5,3,2,0,1,1,0,1
5.97,1,0,4,1,0,1,1,1
9.26,1,2,2,1,0,0,1,1
8.01,1,1,0,0,1,0,0,1
6.84,1,3,2,0,1,1,1,1
6.06,3,1,5,1,1,0,1,1
8.68,0,0,5,0,0,1,0,1
7.98,2,3,0,0,1,1,0,1
7.63,4,2,3,1,0,0,0,1
9.08,2,1,2,0,1,1,1,1
8.65,2,3,3,0,1,0,1,1
6.11,5,0,3,1,1,0,0,1
6.75,0,2,1,0,0,0,0,0
6.49,5,1,0,0,1,0,1,1
8.48,0,1,4,1,1,0,1,1
5.63,0,3,5,0,0,0,1,1
7.78,1,2,5,1,0,1,1,1
8.55,3,2,0,0,1,1,0,1
9.01,1,2,4,0,1,1,1,1
6.87,3,2,5,1,1,1,1,1
8.79,5,0,0,1,0,0,1,1
5.94,3,2,5,0,0,1,1,1
8.89,5,1,3,1,0,1,0,1
6.01,2,1,2,1,0,1,0,1
7.09,2,0,2,0,1,0,1,1
8.69,3,1,5,0,0,1,1,1
6.1,3,1,1,0,0,0,0,1
6.42,5,2,4,1,0,1,0,1
8.39,1,1,4,1,1,0,1,1
8.38,5,0,4,1,1,0,1,1
8.06,1,2,3,1,0,1,0,1
8.28,2,3,4,0,0,0,0,1
7.67,0,2,2,1,1,0,0,1
6.51,3,0,3,0,1,1,0,0
6.88,1,2,0,1,1,1,0,1
6.23,5,2,4,0,1,1,0,1
9.13,2,0,4,0,1,0,1,1
7.83,1,2,0,0,1,0,0,1
7.1,5,0,4,1,1,0,0,1
7.35,3,0,0,0,1,1,0,1
9.29,3,3,3,0,0,0,0,1
6.11,4,1,2,1,0,0,1,1
7.84,0,1,0,0,0,0,1,1
7.52,4,2,1,1,0,0,0,1
7.95,2,2,0,1,0,0,1,1
5.57,1,3,4,0,0,0,1,0
8.99,2,3,3,0,1,0,1,1
9.23,5,3,5,1,1,1,1,1
7.76,3,0,3,0,0,1,1,0
8.29,4,3,5,1,0,1,1,1
9.19,4,3,0,1,1,0,0,1
